# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x28 | 16 | ASCII | __TEXT
0x68 | 16 | ASCII | __text
0x78 | 16 | ASCII | __TEXT
0xb8 | 16 | ASCII | __stubs
0xc8 | 16 | ASCII | __TEXT
0x108 | 16 | ASCII | __stub_helper
0x118 | 16 | ASCII | __TEXT
0x158 | 16 | ASCII | __gcc_except_tab
0x168 | 16 | ASCII | __TEXT
0x1a8 | 16 | ASCII | __const
0x1b8 | 16 | ASCII | __TEXT
0x1f8 | 16 | ASCII | __objc_methname
0x208 | 16 | ASCII | __TEXT
0x248 | 16 | ASCII | __objc_classname
0x258 | 16 | ASCII | __TEXT
0x298 | 16 | ASCII | __objc_methtype
0x2a8 | 16 | ASCII | __TEXT
0x2e8 | 16 | ASCII | __unwind_info
0x2f8 | 16 | ASCII | __TEXT
0x340 | 16 | ASCII | __DATA
0x380 | 16 | ASCII | __got
0x390 | 16 | ASCII | __DATA
0x3d0 | 16 | ASCII | __la_symbol_ptr
0x3e0 | 16 | ASCII | __DATA
0x420 | 16 | ASCII | __mod_init_func
0x430 | 16 | ASCII | __DATA
0x470 | 16 | ASCII | __objc_catlist
0x480 | 16 | ASCII | __DATA
0x4c0 | 16 | ASCII | __objc_imageinfo
0x4d0 | 16 | ASCII | __DATA
0x510 | 16 | ASCII | __objc_const
0x520 | 16 | ASCII | __DATA
0x560 | 16 | ASCII | __objc_selrefs
0x570 | 16 | ASCII | __DATA
0x5b0 | 16 | ASCII | __objc_classrefs
0x5c0 | 16 | ASCII | __DATA
0x600 | 16 | ASCII | __data
0x610 | 16 | ASCII | __DATA
0x650 | 16 | ASCII | __common
0x660 | 16 | ASCII | __DATA
0x6a0 | 16 | ASCII | __bss
0x6b0 | 16 | ASCII | __DATA
0x6f8 | 16 | ASCII | __LINKEDIT
0x750 | 61 | ASCII | /Library/MobileSubstrate/DynamicLibraries/SerialEnroll.dylib
0x890 | 86 | ASCII | /System/Library/PrivateFrameworks/ManagedConfiguration.framework/ManagedConfiguration
0x900 | 66 | ASCII | /System/Library/PrivateFrameworks/AppSupport.framework/AppSupport
0x960 | 55 | ASCII | /System/Library/Frameworks/Security.framework/Security
0x9b0 | 60 | ASCII | /System/Library/Frameworks/IOKit.framework/Versions/A/IOKit
0xa08 | 49 | ASCII | /System/Library/Frameworks/UIKit.framework/UIKit
0xa58 | 59 | ASCII | /System/Library/Frameworks/Foundation.framework/Foundation
0xab0 | 60 | ASCII | /Library/Frameworks/CydiaSubstrate.framework/CydiaSubstrate
0xb08 | 25 | ASCII | /usr/lib/libobjc.A.dylib
0xb40 | 24 | ASCII | /usr/lib/libc++.1.dylib
0xb70 | 27 | ASCII | /usr/lib/libSystem.B.dylib
0xba8 | 67 | ASCII | /System/Library/Frameworks/CoreFoundation.framework/CoreFoundation
0xfde8 | 28 | ASCII | MCSetObjectIfNotNil:forKey:
0xfe04 | 17 | ASCII | bundleIdentifier
0xfe1a | 15 | ASCII | defaultManager
0xfe29 | 18 | ASCII | fileExistsAtPath:
0xfe3b | 24 | ASCII | initWithContentsOfFile:
0xfe53 | 17 | ASCII | isEqualToString:
0xfe64 | 7 | ASCII | length
0xfe6b | 14 | ASCII | longLongValue
0xfe79 | 11 | ASCII | mainBundle
0xfe84 | 15 | ASCII | rangeOfString:
0xfe93 | 29 | ASCII | rangeOfString:options:range:
0xfeb0 | 31 | ASCII | stringBetweenString:andString:
0xfecf | 20 | ASCII | substringWithRange:
0xfee3 | 22 | ASCII | timeIntervalSince1970
0xfef9 | 13 | ASCII | valueForKey:
0xff06 | 11 | ASCII | NSAddition
0xff11 | 14 | ASCII | @32@0:8@16@24
0x101c1 | 6 | ASCII | nu}> U
0x10260 | 9 | ASCII | z|[87TQO"
0x108d9 | 5 | ASCII | yGiJh
