# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x28 | 16 | ASCII | __TEXT
0x68 | 16 | ASCII | __text
0x78 | 16 | ASCII | __TEXT
0xb8 | 16 | ASCII | __stubs
0xc8 | 16 | ASCII | __TEXT
0x108 | 16 | ASCII | __stub_helper
0x118 | 16 | ASCII | __TEXT
0x158 | 16 | ASCII | __const
0x168 | 16 | ASCII | __TEXT
0x1a8 | 16 | ASCII | __objc_methname
0x1b8 | 16 | ASCII | __TEXT
0x1f8 | 16 | ASCII | __gcc_except_tab
0x208 | 16 | ASCII | __TEXT
0x248 | 16 | ASCII | __cstring
0x258 | 16 | ASCII | __TEXT
0x298 | 16 | ASCII | __objc_classname
0x2a8 | 16 | ASCII | __TEXT
0x2e8 | 16 | ASCII | __objc_methtype
0x2f8 | 16 | ASCII | __TEXT
0x338 | 16 | ASCII | __unwind_info
0x348 | 16 | ASCII | __TEXT
0x388 | 16 | ASCII | __eh_frame
0x398 | 16 | ASCII | __TEXT
0x3e0 | 16 | ASCII | __DATA
0x420 | 16 | ASCII | __got
0x430 | 16 | ASCII | __DATA
0x470 | 16 | ASCII | __la_symbol_ptr
0x480 | 16 | ASCII | __DATA
0x4c0 | 16 | ASCII | __mod_init_func
0x4d0 | 16 | ASCII | __DATA
0x510 | 16 | ASCII | __const
0x520 | 16 | ASCII | __DATA
0x560 | 16 | ASCII | __cfstring
0x570 | 16 | ASCII | __DATA
0x5b0 | 16 | ASCII | __objc_classlist
0x5c0 | 16 | ASCII | __DATA
0x600 | 16 | ASCII | __objc_catlist
0x610 | 16 | ASCII | __DATA
0x650 | 16 | ASCII | __objc_protolist
0x660 | 16 | ASCII | __DATA
0x6a0 | 16 | ASCII | __objc_imageinfo
0x6b0 | 16 | ASCII | __DATA
0x6f0 | 16 | ASCII | __objc_const
0x700 | 16 | ASCII | __DATA
0x740 | 16 | ASCII | __objc_selrefs
0x750 | 16 | ASCII | __DATA
0x790 | 16 | ASCII | __objc_protorefs
0x7a0 | 16 | ASCII | __DATA
0x7e0 | 16 | ASCII | __objc_classrefs
0x7f0 | 16 | ASCII | __DATA
0x830 | 16 | ASCII | __objc_superrefs
0x840 | 16 | ASCII | __DATA
0x880 | 16 | ASCII | __objc_ivar
0x890 | 16 | ASCII | __DATA
0x8d0 | 16 | ASCII | __objc_data
0x8e0 | 16 | ASCII | __DATA
0x920 | 16 | ASCII | __data
0x930 | 16 | ASCII | __DATA
0x970 | 16 | ASCII | __bss
0x980 | 16 | ASCII | __DATA
0x9c0 | 16 | ASCII | __common
0x9d0 | 16 | ASCII | __DATA
0xa18 | 16 | ASCII | __LINKEDIT
0xa70 | 60 | ASCII | /Library/MobileSubstrate/DynamicLibraries/XoaKeyChain.dylib
0xbb0 | 60 | ASCII | /Library/Frameworks/CydiaSubstrate.framework/CydiaSubstrate
0xc08 | 22 | ASCII | /usr/lib/libz.1.dylib
0xc38 | 85 | ASCII | /System/Library/Frameworks/AppTrackingTransparency.framework/AppTrackingTransparency
0xca8 | 57 | ASCII | /System/Library/Frameworks/CFNetwork.framework/CFNetwork
0xd00 | 67 | ASCII | /System/Library/Frameworks/CoreFoundation.framework/CoreFoundation
0xd60 | 77 | ASCII | /System/Library/Frameworks/SystemConfiguration.framework/SystemConfiguration
0xdc8 | 65 | ASCII | /System/Library/Frameworks/CoreTelephony.framework/CoreTelephony
0xe28 | 60 | ASCII | /System/Library/Frameworks/IOKit.framework/Versions/A/IOKit
0xe80 | 63 | ASCII | /System/Library/Frameworks/CoreLocation.framework/CoreLocation
0xed8 | 55 | ASCII | /System/Library/Frameworks/Security.framework/Security
0xf28 | 49 | ASCII | /System/Library/Frameworks/UIKit.framework/UIKit
0xf78 | 66 | ASCII | /System/Library/PrivateFrameworks/AppSupport.framework/AppSupport
0xfd8 | 59 | ASCII | /System/Library/Frameworks/Foundation.framework/Foundation
0x1030 | 59 | ASCII | /System/Library/Frameworks/CoreMotion.framework/CoreMotion
0x1088 | 25 | ASCII | /usr/lib/libobjc.A.dylib
0x10c0 | 24 | ASCII | /usr/lib/libc++.1.dylib
0x10f0 | 27 | ASCII | /usr/lib/libSystem.B.dylib
0x228e1e | 12 | ASCII | OsL[KVUSCM
0x228e36 | 5 | ASCII | A} 
0x228e5b | 14 | ASCII | u@\n\VuQGTF\n
0x228e93 | 6 | ASCII | WU]UT
0x228f2e | 7 | ASCII | thread
0x228f35 | 7 | ASCII | daemon
0x229090 | 65 | ASCII | ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/
0x229171 | 32 | ASCII | T@"NSMutableData",R,N,V__buffer
0x229191 | 33 | ASCII | ACwGrPQKtiLFNRAXQojKBcBOyXIyENLf
0x2291b2 | 16 | ASCII | TB,N,V_v5DCnkFW
0x2291c2 | 43 | ASCII | BgZoLsmCVlbdCGJRigZLYusClNTFcBnk:isRemove:
0x2291f1 | 33 | ASCII | CBKDwPpaUWJpvuoGLznsEzaBWGXHMMOh
0x229212 | 8 | ASCII | allKeys
0x22921a | 33 | ASCII | DUfQbYJfeulImNNPNhWdRtqOkAgJcYAN
0x22923b | 32 | ASCII | applicationWillEnterForeground:
0x22925b | 34 | ASCII | DuQtKhwpqjIQLrDuXYoFmLAMZLjgIxwe:
0x22927d | 32 | ASCII | base64EncodedStringWithOptions:
0x22929d | 33 | ASCII | FXOCFNMJHMJvtabWvLrkNoUjGKXnioBV
0x2292be | 32 | ASCII | connectionWithRequest:delegate:
0x2292de | 33 | ASCII | GlobFuwpHurZlQTWGAYwGNYeuBqlFfOd
0x2292ff | 16 | ASCII | containsString:
0x22930f | 33 | ASCII | JDrTWqYVLwOIoorbfnDYarpcTqTKZbIZ
0x229330 | 16 | ASCII | dataWithLength:
0x229340 | 34 | ASCII | JnAwHzikjQAsTUBuvjfiUpobKAMQPsHG:
0x229362 | 8 | ASCII | dealloc
0x22936a | 33 | ASCII | LzXWzJxhSbUlUzlIAcTqgokaDwWusBiS
0x22938b | 8 | ASCII | element
0x229393 | 33 | ASCII | OaowPykdJpmzVlSEbMIrHZpskZboZXPz
0x2293b4 | 16 | ASCII | f0dDWAMc:found:
0x2293c4 | 49 | ASCII | PMZpxjnupHbysxnSqPUivjLvDDiditlH:path:isEndFile:
0x2293f5 | 8 | ASCII | ignore:
0x2293fd | 33 | ASCII | RWnSSevsyAqSPaMTVkFbLLnxzWTQkBpj
0x22941e | 32 | ASCII | initWithDelegate:delegateQueue:
0x22943e | 33 | ASCII | RsOqmYQOpjfqUeLlyloddopasBNhRCps
0x22945f | 16 | ASCII | initWithLength:
0x22946f | 33 | ASCII | SXsLSMCypZBqObYofBDYZMojfiAbQxdE
0x229490 | 32 | ASCII | initWithTarget:selector:object:
0x2294b0 | 17 | ASCII | T@"<z26pNQ8b>",W
0x2294c1 | 8 | ASCII | isProxy
0x2294c9 | 26 | ASCII | T@"NSData",&,N,V_t07oZoo9
0x2294e3 | 16 | ASCII | lowercaseString
0x2294f3 | 26 | ASCII | T@"NSData",&,N,V_w8vmb4Wr
0x22950d | 16 | ASCII | n1vq4VdF:error:
0x22951d | 26 | ASCII | T@"NSData",C,N,V_o9mZN56r
0x229537 | 16 | ASCII | n8Qo6Q0r:error:
0x229547 | 24 | ASCII | T@"NSError",&,N,V_error
0x22955f | 16 | ASCII | numberWithBool:
0x22956f | 33 | ASCII | T@"NSMutableData",R,N,V__outData
0x229590 | 16 | ASCII | originalRequest
0x2295a0 | 34 | ASCII | T@"NSObject<OS_dispatch_queue>",&
0x2295c2 | 16 | ASCII | read:maxLength:
0x2295d2 | 52 | ASCII | T@"NSObject<OS_dispatch_queue>",&,N,V_responseQueue
0x229606 | 16 | ASCII | removeObserver:
0x229616 | 52 | ASCII | T@"NSString",&,N,V_BpDVfmrtcuAybbKSnyTAhGqQhyihQnng
0x22964a | 16 | ASCII | setCarrierName:
0x22965a | 52 | ASCII | T@"NSString",&,N,V_CZLuLnUIMmseZsUpTxkeDlGujDJzaHfd
0x22968e | 16 | ASCII | setWindowLevel:
0x22969e | 52 | ASCII | T@"NSString",&,N,V_DYEqKdkarRTukCmPWEUTWxUGILgYemLy
0x2296d2 | 32 | ASCII | stringByAppendingPathComponent:
0x2296f2 | 52 | ASCII | T@"NSString",&,N,V_FXOCFNMJHMJvtabWvLrkNoUjGKXnioBV
0x229726 | 8 | ASCII | suspend
0x22972e | 52 | ASCII | T@"NSString",&,N,V_GlobFuwpHurZlQTWGAYwGNYeuBqlFfOd
0x229762 | 8 | ASCII | timeout
0x22976a | 52 | ASCII | T@"NSString",&,N,V_LzXWzJxhSbUlUzlIAcTqgokaDwWusBiS
0x22979e | 16 | ASCII | uppercaseString
0x2297ae | 52 | ASCII | T@"NSString",&,N,V_RWnSSevsyAqSPaMTVkFbLLnxzWTQkBpj
0x2297e2 | 16 | ASCII | y85JTnQD:error:
0x2297f2 | 52 | ASCII | T@"NSString",&,N,V_RsOqmYQOpjfqUeLlyloddopasBNhRCps
0x229826 | 14 | ASCII | .cxx_destruct
0x229834 | 16 | ASCII | TB,N,V_j5V6kFWj
0x229844 | 6 | ASCII | BSSID
0x22984a | 16 | ASCII | TB,V_isUseProxy
0x22985a | 33 | ASCII | BpDVfmrtcuAybbKSnyTAhGqQhyihQnng
0x22987b | 8 | ASCII | _engine
0x229883 | 33 | ASCII | CZLuLnUIMmseZsUpTxkeDlGujDJzaHfd
0x2298a4 | 8 | ASCII | appdata
0x2298ac | 33 | ASCII | DYEqKdkarRTukCmPWEUTWxUGILgYemLy
0x2298cd | 16 | ASCII | arrayWithArray:
0x2298dd | 33 | ASCII | ERuOoYuhPXfXiBDMuHHOKONcSidaSefJ
0x2298fe | 16 | ASCII | closeWithError:
0x22990e | 33 | ASCII | GZGdijAHCsygMzCHkepLfPFnnebTmKTF
0x22992f | 16 | ASCII | containsObject:
0x22993f | 54 | ASCII | HcdJtfhhkbgjnWvAaKPjuWYSzVPayiYr:fatherPath:fileName:
0x229975 | 8 | ASCII | cookies
0x22997d | 34 | ASCII | JSONObjectWithData:options:error:
0x22999f | 16 | ASCII | dateFromString:
0x2299af | 33 | ASCII | JwJJsKomCSxsrIhvdAfoJsoBNVtNFpZH
0x2299d0 | 64 | ASCII | downloadTaskWithRequest:progress:destination:completionHandler:
0x229a10 | 33 | ASCII | NEuKUtWTNAhCgjTHpuIkpTWZhbXEhUFh
0x229a31 | 32 | ASCII | endTrackingWithTouch:withEvent:
0x229a51 | 34 | ASCII | PEwACfAnDibdCnzZLDbcXOsfNQYZxFED:
0x229a73 | 8 | ASCII | handler
0x229a7b | 34 | ASCII | PtZjhHNUqSRwHOYxZsdVphiXiuHceLvw:
0x229a9d | 32 | ASCII | initLc0kc99QD:o9mZN56r:handler:
0x229abd | 33 | ASCII | RjZWBisQjZhMaGOGNvQxEpOlwtOLeuEx
0x229ade | 16 | ASCII | initWithFormat:
