# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x28 | 16 | ASCII | __TEXT
0x68 | 16 | ASCII | __text
0x78 | 16 | ASCII | __TEXT
0xb8 | 16 | ASCII | __stubs
0xc8 | 16 | ASCII | __TEXT
0x108 | 16 | ASCII | __stub_helper
0x118 | 16 | ASCII | __TEXT
0x158 | 16 | ASCII | __objc_methname
0x168 | 16 | ASCII | __TEXT
0x1a8 | 16 | ASCII | __objc_classname
0x1b8 | 16 | ASCII | __TEXT
0x1f8 | 16 | ASCII | __objc_methtype
0x208 | 16 | ASCII | __TEXT
0x248 | 16 | ASCII | __cstring
0x258 | 16 | ASCII | __TEXT
0x298 | 16 | ASCII | __gcc_except_tab
0x2a8 | 16 | ASCII | __TEXT
0x2e8 | 16 | ASCII | __const
0x2f8 | 16 | ASCII | __TEXT
0x338 | 16 | ASCII | __unwind_info
0x348 | 16 | ASCII | __TEXT
0x390 | 16 | ASCII | __DATA
0x3d0 | 16 | ASCII | __got
0x3e0 | 16 | ASCII | __DATA
0x420 | 16 | ASCII | __la_symbol_ptr
0x430 | 16 | ASCII | __DATA
0x470 | 16 | ASCII | __mod_init_func
0x480 | 16 | ASCII | __DATA
0x4c0 | 16 | ASCII | __const
0x4d0 | 16 | ASCII | __DATA
0x510 | 16 | ASCII | __cfstring
0x520 | 16 | ASCII | __DATA
0x560 | 16 | ASCII | __objc_classlist
0x570 | 16 | ASCII | __DATA
0x5b0 | 16 | ASCII | __objc_catlist
0x5c0 | 16 | ASCII | __DATA
0x600 | 16 | ASCII | __objc_nlcatlist
0x610 | 16 | ASCII | __DATA
0x650 | 16 | ASCII | __objc_protolist
0x660 | 16 | ASCII | __DATA
0x6a0 | 16 | ASCII | __objc_imageinfo
0x6b0 | 16 | ASCII | __DATA
0x6f0 | 16 | ASCII | __objc_const
0x700 | 16 | ASCII | __DATA
0x740 | 16 | ASCII | __objc_selrefs
0x750 | 16 | ASCII | __DATA
0x790 | 16 | ASCII | __objc_protorefs
0x7a0 | 16 | ASCII | __DATA
0x7e0 | 16 | ASCII | __objc_classrefs
0x7f0 | 16 | ASCII | __DATA
0x830 | 16 | ASCII | __objc_superrefs
0x840 | 16 | ASCII | __DATA
0x880 | 16 | ASCII | __objc_ivar
0x890 | 16 | ASCII | __DATA
0x8d0 | 16 | ASCII | __objc_data
0x8e0 | 16 | ASCII | __DATA
0x920 | 16 | ASCII | __data
0x930 | 16 | ASCII | __DATA
0x970 | 16 | ASCII | __common
0x980 | 16 | ASCII | __DATA
0x9c0 | 16 | ASCII | __bss
0x9d0 | 16 | ASCII | __DATA
0xa18 | 16 | ASCII | __LINKEDIT
0xa70 | 60 | ASCII | /Library/MobileSubstrate/DynamicLibraries/OTRLocation.dylib
0xbb0 | 25 | ASCII | /usr/lib/libobjc.A.dylib
0xbe8 | 59 | ASCII | /System/Library/Frameworks/Foundation.framework/Foundation
0xc40 | 67 | ASCII | /System/Library/Frameworks/CoreFoundation.framework/CoreFoundation
0xca0 | 49 | ASCII | /System/Library/Frameworks/UIKit.framework/UIKit
0xcf0 | 63 | ASCII | /System/Library/Frameworks/CoreLocation.framework/CoreLocation
0xd48 | 28 | ASCII | /usr/lib/libsubstrate.dylib
0xd80 | 34 | ASCII | /usr/lib/librocketbootstrap.dylib
0xdc0 | 27 | ASCII | /usr/lib/libstdc++.6.dylib
0xdf8 | 27 | ASCII | /usr/lib/libSystem.B.dylib
0x9338 | 6 | ASCII | alloc
0x9343 | 9 | ASCII | isEqual:
0x934c | 6 | ASCII | class
0x9357 | 17 | ASCII | performSelector:
0x9368 | 28 | ASCII | performSelector:withObject:
0x9384 | 39 | ASCII | performSelector:withObject:withObject:
0x93ab | 8 | ASCII | isProxy
0x93b3 | 15 | ASCII | isKindOfClass:
0x93c2 | 17 | ASCII | isMemberOfClass:
0x93d3 | 20 | ASCII | conformsToProtocol:
0x93e7 | 20 | ASCII | respondsToSelector:
0x93fb | 7 | ASCII | retain
0x9402 | 8 | ASCII | release
0x940a | 12 | ASCII | autorelease
0x9416 | 12 | ASCII | retainCount
0x942c | 11 | ASCII | superclass
0x9437 | 12 | ASCII | description
0x9443 | 17 | ASCII | debugDescription
0x9454 | 31 | ASCII | applicationDidFinishLaunching:
0x9473 | 44 | ASCII | application:willFinishLaunchingWithOptions:
0x949f | 43 | ASCII | application:didFinishLaunchingWithOptions:
0x94ca | 28 | ASCII | applicationDidBecomeActive:
0x94e6 | 29 | ASCII | applicationWillResignActive:
0x9503 | 27 | ASCII | application:handleOpenURL:
0x951e | 50 | ASCII | application:openURL:sourceApplication:annotation:
0x9550 | 29 | ASCII | application:openURL:options:
0x956d | 36 | ASCII | applicationDidReceiveMemoryWarning:
0x9591 | 26 | ASCII | applicationWillTerminate:
0x95ab | 34 | ASCII | applicationSignificantTimeChange:
0x95cd | 53 | ASCII | application:willChangeStatusBarOrientation:duration:
0x9602 | 43 | ASCII | application:didChangeStatusBarOrientation:
0x962d | 38 | ASCII | application:willChangeStatusBarFrame:
0x9653 | 37 | ASCII | application:didChangeStatusBarFrame:
0x9678 | 49 | ASCII | application:didRegisterUserNotificationSettings:
0x96a9 | 62 | ASCII | application:didRegisterForRemoteNotificationsWithDeviceToken:
0x96e7 | 62 | ASCII | application:didFailToRegisterForRemoteNotificationsWithError:
0x9725 | 42 | ASCII | application:didReceiveRemoteNotification:
0x974f | 41 | ASCII | application:didReceiveLocalNotification:
0x9778 | 79 | ASCII | application:handleActionWithIdentifier:forLocalNotification:completionHandler:
0x97c7 | 97 | ASCII | application:handleActionWithIdentifier:forRemoteNotification:withResponseInfo:completionHandler:
0x9828 | 80 | ASCII | application:handleActionWithIdentifier:forRemoteNotification:completionHandler:
0x9878 | 96 | ASCII | application:handleActionWithIdentifier:forLocalNotification:withResponseInfo:completionHandler:
0x98d8 | 65 | ASCII | application:didReceiveRemoteNotification:fetchCompletionHandler:
0x9919 | 47 | ASCII | application:performFetchWithCompletionHandler:
0x9948 | 60 | ASCII | application:performActionForShortcutItem:completionHandler:
0x9984 | 67 | ASCII | application:handleEventsForBackgroundURLSession:completionHandler:
0x99c7 | 50 | ASCII | application:handleWatchKitExtensionRequest:reply:
0x99f9 | 45 | ASCII | applicationShouldRequestHealthAuthorization:
0x9a26 | 44 | ASCII | application:handleIntent:completionHandler:
0x9a52 | 31 | ASCII | applicationDidEnterBackground:
0x9a71 | 32 | ASCII | applicationWillEnterForeground:
0x9a91 | 47 | ASCII | applicationProtectedDataWillBecomeUnavailable:
0x9ac0 | 44 | ASCII | applicationProtectedDataDidBecomeAvailable:
0x9aec | 53 | ASCII | application:supportedInterfaceOrientationsForWindow:
0x9b21 | 49 | ASCII | application:shouldAllowExtensionPointIdentifier:
0x9b52 | 63 | ASCII | application:viewControllerWithRestorationIdentifierPath:coder:
0x9b91 | 40 | ASCII | application:shouldSaveApplicationState:
0x9bb9 | 43 | ASCII | application:shouldRestoreApplicationState:
0x9be4 | 48 | ASCII | application:willEncodeRestorableStateWithCoder:
0x9c14 | 47 | ASCII | application:didDecodeRestorableStateWithCoder:
0x9c43 | 46 | ASCII | application:willContinueUserActivityWithType:
0x9c71 | 53 | ASCII | application:continueUserActivity:restorationHandler:
0x9ca6 | 57 | ASCII | application:didFailToContinueUserActivityWithType:error:
0x9cdf | 35 | ASCII | application:didUpdateUserActivity:
0x9d02 | 52 | ASCII | application:userDidAcceptCloudKitShareWithMetadata:
0x9d36 | 7 | ASCII | window
0x9d3d | 11 | ASCII | setWindow:
0x9d48 | 6 | ASCII | drain
0x9d4e | 25 | ASCII | OTRUname:original_uname:
0x9d67 | 60 | ASCII | OTRsysctlbyname:out:outsize:p1:psize:original_sysctlbyname:
0x9da3 | 18 | ASCII | stringWithFormat:
0x9db5 | 16 | ASCII | OTRLocationInit
0x9dc5 | 16 | ASCII | sharedSingleton
0x9dd5 | 14 | ASCII | createService
0x9de3 | 16 | ASCII | startMsgService
0x9df3 | 21 | ASCII | standardUserDefaults
0x9e08 | 14 | ASCII | objectForKey:
0x9e16 | 15 | ASCII | objectAtIndex:
0x9e25 | 11 | ASCII | hasPrefix:
0x9e30 | 11 | ASCII | dictionary
0x9e3b | 26 | ASCII | dictionaryWithDictionary:
0x9e55 | 18 | ASCII | setObject:forKey:
0x9e67 | 10 | ASCII | OTRConfig
0x9e71 | 16 | ASCII | numberWithBool:
0x9e81 | 21 | ASCII | setValue:forKeyPath:
0x9e96 | 15 | ASCII | saveOTRConfig:
0x9ea5 | 12 | ASCII | synchronize
0x9eb1 | 46 | ASCII | dataFromPropertyList:format:errorDescription:
0x9edf | 63 | ASCII | propertyListFromData:mutabilityOption:format:errorDescription:
0x9f1e | 29 | ASCII | getDefaultCenterNotifyHandle
0x9f3b | 10 | ASCII | isChinese
0x9f45 | 15 | ASCII | isShowedUseTip
0x9f54 | 16 | ASCII | setShowedUseTip
0x9f64 | 32 | ASCII | sendMessage:messageId:userInfo:
0x9f84 | 19 | ASCII | DataToPropertyLis:
0x9f97 | 19 | ASCII | PropertyLisToData:
0x9faa | 11 | ASCII | mainBundle
0x9fb5 | 17 | ASCII | bundleIdentifier
0x9fc6 | 23 | ASCII | fakeDeviceModuleSwitch
0x9fdd | 26 | ASCII | allBundleIdentifierConfig
0x9ffb | 11 | ASCII | UTF8String
0xa006 | 7 | ASCII | length
0xa00d | 17 | ASCII | isEqualToString:
0xa01e | 14 | ASCII | defaultCenter
0xa02c | 45 | ASCII | onOTRApplicationDidBecomeActiveNotification:
0xa059 | 34 | ASCII | addObserver:selector:name:object:
0xa07b | 19 | ASCII | onOTRCheckService:
0xa08e | 11 | ASCII | loadConfig
0xa099 | 20 | ASCII | onOTRCheckService2:
0xa0ad | 29 | ASCII | postNotificationName:object:
0xa0ca | 28 | ASCII | removeObserver:name:object:
0xa0e6 | 18 | ASCII | appReBecomeActive
0xa0f8 | 11 | ASCII | fakeSwitch
0xa103 | 88 | ASCII | initWithCoordinate:altitude:horizontalAccuracy:verticalAccuracy:course:speed:timestamp:
0xa15b | 28 | ASCII | instancesRespondToSelector:
0xa177 | 12 | ASCII | doubleValue
0xa183 | 9 | ASCII | altitude
0xa18c | 19 | ASCII | horizontalAccuracy
0xa19f | 17 | ASCII | verticalAccuracy
0xa1b0 | 7 | ASCII | course
0xa1b7 | 6 | ASCII | speed
0xa1bd | 10 | ASCII | timestamp
0xa1c7 | 75 | ASCII | initWithCoordinate:altitude:horizontalAccuracy:verticalAccuracy:timestamp:
0xa212 | 30 | ASCII | dictionaryWithContentsOfFile:
0xa230 | 16 | ASCII | setLocationCfg:
0xa240 | 15 | ASCII | setFakeSwitch:
0xa24f | 27 | ASCII | setFakeDeviceModuleSwitch:
0xa26a | 12 | ASCII | locationCfg
0xa276 | 10 | ASCII | boolValue
0xa280 | 17 | ASCII | setValue:forKey:
0xa291 | 14 | ASCII | currentDevice
0xa29f | 14 | ASCII | systemVersion
